Drop Off Location,Stake,Route Number/Name,Donation Bags Collected,Completed More Than One Route,Ward_x,Neighbourhood,Latitude,Longitude,Point Location
Bonnie Doon Stake Centre,Bonnie Doon Stake,58,7,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Bearspaw Chapel,Gateway Stake,6,20,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Gateway Stake Centre,Gateway Stake,18,16,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Riverbend Stake Centre,Riverbend Stake,6,8,No,Woodbend Ward,WOODBEND,53.54747,-113.54367,
Edmonton North Stake Centre,Edmonton North Stake,Caernarvon A,38,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Gateway Stake Centre,Gateway Stake,30,30,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bonnie Doon Stake Centre,YSA Stake,Mill Creek 2,12,No,Whitemud Creek YSA Ward,WHITEMUD CREEK YSA,53.48264,-113.50805,
Bearspaw Chapel,Riverbend Stake,7,23,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Fulton Place #1B,12,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Bonnie Doon Stake Centre,YSA Stake,Mill Creek 2,12,No,Whitemud Creek YSA Ward,WHITEMUD CREEK YSA,53.48264,-113.50805,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Sloan,20,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Riverbend Stake Centre,Riverbend Stake,37,10,No,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Riverbend Stake Centre,Riverbend Stake,13,6,No,Woodbend Ward,WOODBEND,53.54747,-113.54367,
Londonberry Chapel,Bonnie Doon Stake,169,22,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Bearspaw Chapel,Gateway Stake,9,28,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Edmonton North Stake Centre,Edmonton North Stake,3-3-1a,12,No,Namao Ward,NAMAO,53.54445,-113.49091,
Riverbend Stake Centre,Riverbend Stake,3,11,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Londonberry Chapel,Bonnie Doon Stake,46,10,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Londonberry Chapel,Bonnie Doon Stake,49th street,15,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Londonberry Chapel,Bonnie Doon Stake,2,17,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Gateway Stake Centre,Gateway Stake,Laurel Park,50,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Londonberry Chapel,Bonnie Doon Stake,169,24,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Bearspaw Chapel,Gateway Stake,9,56,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Terrace Heights #3 (Poll 66),8,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Londonberry Chapel,Bonnie Doon Stake,25,14,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Bearspaw Chapel,Gateway Stake,7,30,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Ritchie 2,21,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Londonberry Chapel,Bonnie Doon Stake,16,18,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Bearspaw Chapel,Gateway Stake,33,21,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Gateway Stake Centre,Gateway Stake,8,11,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Riverbend Stake Centre,Riverbend Stake,25,40,No,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Bonnie Doon Stake Centre,Bonnie Doon Stake,42,12,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Edmonton North Stake Centre,Edmonton North Stake,5 2.2,13,No,Namao Ward,NAMAO,53.54445,-113.49091,
Londonberry Chapel,Bonnie Doon Stake,182,12,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Riverbend Stake Centre,Riverbend Stake,54,30,No,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Goldbar 5,4,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Gateway Stake Centre,Gateway Stake,11,19,Yes,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Bearspaw Chapel,Gateway Stake,8,50,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Edmonton North Stake Centre,Edmonton North Stake,4-3.2,35,No,Namao Ward,NAMAO,53.54445,-113.49091,
Bearspaw Chapel,Gateway Stake,13,35,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Gateway Stake Centre,Gateway Stake,30,18,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Gateway Stake Centre,Gateway Stake,5,10,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Edmonton North Stake Centre,Edmonton North Stake,4-1.1 ,32,No,Namao Ward,NAMAO,53.54445,-113.49091,
Edmonton North Stake Centre,Edmonton North Stake,Calder C,20,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Bearspaw Chapel,Gateway Stake,63,12,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bearspaw Chapel,Gateway Stake,36,55,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Gateway Stake Centre,Gateway Stake,73,7,No,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bearspaw Chapel,Gateway Stake,8,50,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Riverbend Stake Centre,Riverbend Stake,21,12,No,Woodbend Ward,WOODBEND,53.54747,-113.54367,
Londonberry Chapel,Bonnie Doon Stake,134,20,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,40,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Londonberry Chapel,Bonnie Doon Stake,3,19,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Edmonton North Stake Centre,Bonnie Doon Stake,Ottwell #3 (poll 48),30,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Londonberry Chapel,Bonnie Doon Stake,22,51,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Bearspaw Chapel,Gateway Stake,6,1,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Gateway Stake Centre,Gateway Stake,74,21,No,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Riverbend Stake Centre,Riverbend Stake,Royal Gardens # / Gavin Speidwl,40,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Edmonton North Stake Centre,Edmonton North Stake,"113A, 133 street 131 ave",6,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Gateway Stake Centre,Gateway Stake,52 and 52,25,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Gateway Stake Centre,Gateway Stake,41,20,No,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Edmonton North Stake Centre,Edmonton North Stake,5,56,Yes,Namao Ward,NAMAO,53.54445,-113.49091,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Poll 47 ,18,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Riverbend Stake Centre,Riverbend Stake,AG1,50,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Riverbend Stake Centre,Riverbend Stake,5,28,No,Woodbend Ward,WOODBEND,53.54747,-113.54367,
Bearspaw Chapel,Gateway Stake,56,35,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Gateway Stake Centre,Gateway Stake,86/laurel,16,No,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Gateway Stake Centre,Gateway Stake,66,2,No,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest height #4 (poll 68),23,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Londonberry Chapel,Bonnie Doon Stake,58,26,Yes,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Edmonton North Stake Centre,Edmonton North Stake,Hudson c,20,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Gateway Stake Centre,Gateway Stake,23,20,No,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Bearspaw Chapel,Riverbend Stake,19,21,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Londonberry Chapel,Bonnie Doon Stake,197/210,9,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Gateway Stake Centre,Gateway Stake,36,17,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bearspaw Chapel,Bonnie Doon Stake,6,40,No,Southgate Ward,SOUTHGATE,53.4843,-113.51725,
Bearspaw Chapel,Gateway Stake,18,22,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Gateway Stake Centre,Gateway Stake,24,35,No,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Bearspaw Chapel,Gateway Stake,46,28,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bearspaw Chapel,Bonnie Doon Stake,125,12,No,Southgate Ward,SOUTHGATE,53.4843,-113.51725,
Londonberry Chapel,Bonnie Doon Stake,123,42,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Gateway Stake Centre,Gateway Stake,12,20,No,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Gateway Stake Centre,Gateway Stake,2,20,No,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Riverbend Stake Centre,Riverbend Stake,Howard Biggs,30,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Edmonton North Stake Centre,Edmonton North Stake,3-2.4b,14,No,Namao Ward,NAMAO,53.54445,-113.49091,
Bearspaw Chapel,Gateway Stake,63,20,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bearspaw Chapel,Gateway Stake,15,35,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Strathcona,18,No,Southgate Ward,SOUTHGATE,53.4843,-113.51725,
Gateway Stake Centre,Gateway Stake,1,50,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Riverbend Stake Centre,Riverbend Stake,Gurney,45,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Gateway Stake Centre,Gateway Stake,"19,23",48,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Edmonton North Stake Centre,Edmonton North Stake,Cumberland E,15,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Londonberry Chapel,Bonnie Doon Stake,"162 , 170",54,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Gateway Stake Centre,Gateway Stake,"62, 48, 61",37,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bearspaw Chapel,Gateway Stake,17,25,No,Wild Rose Ward,WILD ROSE,53.47199344,-113.3815115,POINT (-113.38151145570593 53.47199344444126)
Gateway Stake Centre,Gateway Stake,37,21,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Londonberry Chapel,Bonnie Doon Stake,52,55,Yes,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Edmonton North Stake Centre,Edmonton North Stake,2-1.1,29,No,Namao Ward,NAMAO,53.54445,-113.49091,
Londonberry Chapel,Bonnie Doon Stake,Not specified ,29,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Strathcona 2 134 housew,12,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Gateway Stake Centre,Gateway Stake,69/71,27,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Londonberry Chapel,Bonnie Doon Stake,17,20,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Riverbend Stake Centre,Riverbend Stake,201,26,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Bearspaw Chapel,Gateway Stake,23,22,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Londonberry Chapel,Bonnie Doon Stake,15,15,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Gateway Stake Centre,Gateway Stake,4,33,Yes,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights #7 (poll 71) A,15,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Gateway Stake Centre,Gateway Stake,6,16,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Gateway Stake Centre,Gateway Stake,26,250,No,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Riverbend Stake Centre,Riverbend Stake,51,15,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Bearspaw Chapel,Gateway Stake,2,20,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Riverbend Stake Centre,Riverbend Stake,3,70,Yes,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Londonberry Chapel,Bonnie Doon Stake,110,26,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Londonberry Chapel,Bonnie Doon Stake,54,24,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Edmonton North Stake Centre,Edmonton North Stake,Carlisle B,33,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Londonberry Chapel,Bonnie Doon Stake,141,18,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Londonberry Chapel,Bonnie Doon Stake,29,16,Yes,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Fulton Place #4 (poll 74),39,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Edmonton North Stake Centre,Edmonton North Stake,3-1.2.b,23,No,Namao Ward,NAMAO,53.54445,-113.49091,
Bearspaw Chapel,Gateway Stake,1,25,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Gateway Stake Centre,Gateway Stake,25,230,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Bearspaw Chapel,Gateway Stake,36,22,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Riverbend Stake Centre,Riverbend Stake,4,24,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Gateway Stake Centre,Gateway Stake,Ekota 13 ,40,Yes,Rio Vista Ward,RIO VISTA,53.48446,-113.492,
Riverbend Stake Centre,Riverbend Stake,41,40,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Bearspaw Chapel,Gateway Stake,2,28,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Londonberry Chapel,Bonnie Doon Stake,47,22,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Gateway Stake Centre,Gateway Stake,49,33,No,Rio Vista Ward,RIO VISTA,53.48446,-113.492,
Gateway Stake Centre,Gateway Stake,43,30,Yes,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Londonberry Chapel,Bonnie Doon Stake,"20,92,00,220",33,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Edmonton North Stake Centre,Edmonton North Stake,O rRNA A  and ozerna B,500,Yes,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Londonberry Chapel,Bonnie Doon Stake,31,7,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Bonnie Doon Stake Centre,Bonnie Doon Stake,106,13,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Gateway Stake Centre,Gateway Stake,42,38,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Gateway Stake Centre,Gateway Stake,56 Daly Grove,17,No,Rio Vista Ward,RIO VISTA,53.48446,-113.492,
Gateway Stake Centre,Gateway Stake,7,20,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Bearspaw Chapel,Bonnie Doon Stake,M1,20,No,Southgate Ward,SOUTHGATE,53.4843,-113.51725,
Bearspaw Chapel,Gateway Stake,12,20,Yes,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Londonberry Chapel,Bonnie Doon Stake,5,17,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Gateway Stake Centre,Gateway Stake,39,50,No,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Bonnie Doon 3 ,11,Yes,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Edmonton North Stake Centre,Edmonton North Stake,Wellington C,1,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Riverbend Stake Centre,Riverbend Stake,Royal gardens. 3,17,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Gateway Stake Centre,Gateway Stake,24,9,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Gateway Stake Centre,Gateway Stake,16,30,Yes,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Bearspaw Chapel,Gateway Stake,7,40,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Londonberry Chapel,Bonnie Doon Stake,6,30,Yes,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Gateway Stake Centre,Gateway Stake,42,31,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Gateway Stake Centre,Gateway Stake,33,6,No,Rio Vista Ward,RIO VISTA,53.48446,-113.492,
Bearspaw Chapel,Gateway Stake,4,20,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Riverbend Stake Centre,Riverbend Stake,50,34,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Bonnie Doon Stake Centre,Bonnie Doon Stake,King Edward Park 3,21,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Bearspaw Chapel,Gateway Stake,162,32,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bonnie Doon Stake Centre,Bonnie Doon Stake,4,20,Yes,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Capilano #1,30,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Londonberry Chapel,Bonnie Doon Stake,101,24,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Gateway Stake Centre,Gateway Stake,47,50,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bearspaw Chapel,Gateway Stake,43,20,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Riverbend Stake Centre,Riverbend Stake,24,26,Yes,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Gateway Stake Centre,Gateway Stake,10,24,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Riverbend Stake Centre,Riverbend Stake,Brookside 3,15,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Bearspaw Chapel,YSA Stake,0,8,No,Whitemud Creek YSA Ward,WHITEMUD CREEK YSA,53.48264,-113.50805,
Bearspaw Chapel,Bonnie Doon Stake,8,15,No,Southgate Ward,SOUTHGATE,53.4843,-113.51725,
Bearspaw Chapel,Gateway Stake,12,43,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Fulton place #3 (poll 73),35,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Gateway Stake Centre,Gateway Stake,63,30,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bearspaw Chapel,Gateway Stake,27,32,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Londonberry Chapel,Bonnie Doon Stake,212,30,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Bearspaw Chapel,Bonnie Doon Stake,D4,15,No,Southgate Ward,SOUTHGATE,53.4843,-113.51725,
Riverbend Stake Centre,Riverbend Stake,1&2,47,Yes,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Fulton Place #2 poll 64,22,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Edmonton North Stake Centre,Edmonton North Stake,Griesbach a and b,48,Yes,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Gateway Stake Centre,Gateway Stake,7,30,No,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bearspaw Chapel,Gateway Stake,54,26,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bearspaw Chapel,Gateway Stake,4,18,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Londonberry Chapel,Bonnie Doon Stake,154,16,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Bonnie Doon Stake Centre,Bonnie Doon Stake,#8,22,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Londonberry Chapel,Bonnie Doon Stake,129,9,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Riverbend Stake Centre,Riverbend Stake,7 Herb madlung,25,No,Woodbend Ward,WOODBEND,53.54747,-113.54367,
Bearspaw Chapel,Gateway Stake,0,20,Yes,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Londonberry Chapel,Bonnie Doon Stake,212,30,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Riverbend Stake Centre,Riverbend Stake,55,17,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Ritchie 1 ,16,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Gateway Stake Centre,Gateway Stake,20,20,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Riverbend Stake Centre,Riverbend Stake,39,16,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Bearspaw Chapel,Gateway Stake,10,27,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Riverbend Stake Centre,Riverbend Stake,Butchike,9,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
