Drop Off Location,Stake,Route Number/Name,Donation Bags Collected,Completed More Than One Route,Ward_x,Neighbourhood,Latitude,Longitude,Point Location
Riverbend Stake Centre,Riverbend Stake,14,40,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Ottewell 1,23,Yes,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Edmonton North Stake Centre,Edmonton North Stake,2-1.1,55,No,Namao Ward,NAMAO,53.54445,-113.49091,
Bonnie Doon Stake Centre,Bonnie Doon Stake,36,30,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Bonnie Doon Stake Centre,Bonnie Doon Stake,63,12,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Bearspaw Chapel,Gateway Stake,21,35,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Riverbend Stake Centre,Riverbend Stake,Greenfield #1,34,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Gateway Stake Centre,Gateway Stake,17,62,Yes,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Ottewell 5,15,Yes,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Riverbend Stake Centre,Riverbend Stake,17,60,Yes,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Gateway Stake Centre,Gateway Stake,75,25,No,Rio Vista Ward,RIO VISTA,53.48446,-113.492,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Avonmore 1,25,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Bonnie Doon Stake Centre,Bonnie Doon Stake,King Edward Park 1,80,Yes,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Edmonton North Stake Centre,Edmonton North Stake,Wellington ABCD,66,Yes,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Gateway Stake Centre,Gateway Stake,40,7,No,Beaumont Ward,BEAUMONT,53.352402,-113.415337,
Riverbend Stake Centre,Riverbend Stake,4,47,No,Woodbend Ward,WOODBEND,53.54747,-113.54367,
Riverbend Stake Centre,Riverbend Stake,"65, 67, 68",54,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Riverbend Stake Centre,Riverbend Stake,BQ5,42,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Bearspaw Chapel,Gateway Stake,28,71,Yes,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Riverbend Stake Centre,Riverbend Stake,63,19,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Londonberry Chapel,Bonnie Doon Stake,138,5,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Gateway Stake Centre,Gateway Stake,40,17,No,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Edmonton North Stake Centre,Edmonton North Stake,Dovercourt C,20,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Londonberry Chapel,Bonnie Doon Stake,1,10,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Riverbend Stake Centre,Riverbend Stake,Greenfield 6,37,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Bearspaw Chapel,Gateway Stake,35,25,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Poll 81,20,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Riverbend Stake Centre,Riverbend Stake,Blue quill1,38,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Riverbend Stake Centre,Riverbend Stake,20,50,No,Woodbend Ward,WOODBEND,53.54747,-113.54367,
Bearspaw Chapel,Gateway Stake,67,21,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Gateway Stake Centre,Gateway Stake,76,12,No,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Riverbend Stake Centre,Riverbend Stake,55,37,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Riverbend Stake Centre,Riverbend Stake,17,38,No,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Gateway Stake Centre,Gateway Stake,13,27,Yes,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Riverbend Stake Centre,Riverbend Stake,51,65,No,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Riverbend Stake Centre,Riverbend Stake,22,30,Yes,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Edmonton North Stake Centre,Edmonton North Stake,5.6,95,No,Namao Ward,NAMAO,53.54445,-113.49091,
Riverbend Stake Centre,Riverbend Stake,26/27,40,Yes,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Riverbend Stake Centre,Riverbend Stake,25,55,Yes,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Gateway Stake Centre,Gateway Stake,55,34,No,Rio Vista Ward,RIO VISTA,53.48446,-113.492,
Edmonton North Stake Centre,Edmonton North Stake,Stacey Williams ,57,Yes,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Londonberry Chapel,Bonnie Doon Stake,27,3,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Riverbend Stake Centre,Riverbend Stake,Blue quill 3,42,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Riverbend Stake Centre,Riverbend Stake,12,35,No,Woodbend Ward,WOODBEND,53.54747,-113.54367,
Gateway Stake Centre,Gateway Stake,34,31,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Edmonton North Stake Centre,Edmonton North Stake,5-1.2,39,No,Namao Ward,NAMAO,53.54445,-113.49091,
Riverbend Stake Centre,Riverbend Stake,54,43,Yes,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Gateway Stake Centre,Gateway Stake,22,40,No,Rio Vista Ward,RIO VISTA,53.48446,-113.492,
Edmonton North Stake Centre,Edmonton North Stake,Caernarvon D,20,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Edmonton North Stake Centre,Edmonton North Stake,2-3.1,123,Yes,Namao Ward,NAMAO,53.54445,-113.49091,
Riverbend Stake Centre,Riverbend Stake,26,16,No,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Londonberry Chapel,Bonnie Doon Stake,20,50,Yes,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Gateway Stake Centre,Gateway Stake,47,28,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Gateway Stake Centre,Gateway Stake,40,29,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Londonberry Chapel,Bonnie Doon Stake,23,9,Yes,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Riverbend Stake Centre,Riverbend Stake,3,41,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Edmonton North Stake Centre,Edmonton North Stake,Lori lie D,30,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Londonberry Chapel,Bonnie Doon Stake,121,45,Yes,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Riverbend Stake Centre,Riverbend Stake,Brayden Gregson,100,Yes,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Gateway Stake Centre,Gateway Stake,11,30,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Gateway Stake Centre,Gateway Stake,5,20,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Riverbend Stake Centre,Riverbend Stake,Westbrook,50,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Londonberry Chapel,Bonnie Doon Stake,28,12,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Riverbend Stake Centre,Riverbend Stake,9. C 283,51,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Riverbend Stake Centre,Riverbend Stake,44,40,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Riverbend Stake Centre,Riverbend Stake,72,22,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Riverbend Stake Centre,Riverbend Stake,19,49,Yes,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Gateway Stake Centre,Gateway Stake,81,64,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Riverbend Stake Centre,Riverbend Stake,42,20,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Gateway Stake Centre,Gateway Stake,38,40,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Riverbend Stake Centre,Riverbend Stake,60,60,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Gateway Stake Centre,Gateway Stake,59,22,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Gateway Stake Centre,Gateway Stake,14,30,No,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Riverbend Stake Centre,Riverbend Stake,I dont remember,23,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Edmonton North Stake Centre,Edmonton North Stake,Belle Rive B C D E F ,133,Yes,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Riverbend Stake Centre,Riverbend Stake,Sweetgrass 1,28,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
